ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-04-22T21:05:35Z,mkansara_6,ios,3297,US,172.58.232.121,unknown,El Belicon,Peso Pluma,El Belicón,spotify:track:5bU6rOWXTwagpjUcGp7I8N,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1682197532,FALSE
2023-04-22T21:05:37Z,mkansara_6,ios,2414,US,172.58.232.121,unknown,Las Morras,Peso Pluma,Las Morras,spotify:track:7Lkxvfl2rkNYWS4kBDCQtN,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1682197535,FALSE
2023-04-22T21:07:50Z,mkansara_6,ios,133654,US,172.58.232.121,unknown,Rosa Pastel,Peso Pluma,Rosa Pastel,spotify:track:4LreWoO3cpgiIfrRwbOUSF,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1682197537,FALSE
2023-04-22T21:07:52Z,mkansara_6,ios,1277,US,172.58.232.121,unknown,PRC,Peso Pluma,PRC,spotify:track:2mpoNBkngUEwnaKoBhZ0vl,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1682197671,FALSE
2023-04-22T21:07:54Z,mkansara_6,ios,2902,US,172.58.232.121,unknown,30,TiaCorine,34Corine,spotify:track:2fTGh0imCRgP2FcsLLlj01,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1682197672,FALSE
2023-04-22T21:07:56Z,mkansara_6,ios,1602,US,172.58.232.121,unknown,LUV ME,OG Spliff,PRE ROLL,spotify:track:5R05zM2A2BUuTyPvyf6SsZ,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1682197675,FALSE
2023-04-22T21:09:10Z,mkansara_6,ios,76115,US,172.58.232.121,unknown,FreakyT (Sped Up),TiaCorine,FreakyT (Sped Up),spotify:track:5ora1hAeubOxDDE29Jw4Er,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1682197677,FALSE
2023-04-22T21:10:27Z,mkansara_6,ios,75232,US,172.58.232.121,unknown,FreakyT,TiaCorine,I Can't Wait,spotify:track:4CCrZzRdeWYrWJ0DoN4XCa,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1682197753,FALSE
2023-04-22T21:10:29Z,mkansara_6,ios,1811,US,172.58.232.121,unknown,Andale,DJ Drama,I'M REALLY LIKE THAT,spotify:track:4EgZqNfwsDJ1HvvSMEXypp,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1682197828,FALSE
2023-04-22T21:10:32Z,mkansara_6,ios,2182,US,172.58.232.121,unknown,Princess Diana (with Nicki Minaj),Ice Spice,Princess Diana (with Nicki Minaj),spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1682197830,FALSE
2023-04-22T21:10:36Z,mkansara_6,ios,4411,US,172.58.232.121,unknown,Spin Bout U,Drake,Her Loss,spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1682197833,FALSE
2023-04-22T21:40:26Z,mkansara_6,ios,269360,US,172.58.233.94,unknown,Rebel Rebel - 1999 Remaster,David Bowie,Best of Bowie,spotify:track:6LNwcU77wgVQ5PLSnrRwAN,,,,fwdbtn,trackdone,FALSE,FALSE,FALSE,1682197837,FALSE
2023-04-22T21:42:03Z,mkansara_6,ios,95900,US,172.58.233.94,unknown,Rebel Rebel,David Bowie,Reality,spotify:track:3bdEtobvgxJNoV8kiNGObK,,,,trackdone,fwdbtn,FALSE,TRUE,FALSE,1682199627,FALSE
